PICkitminus and PK2CMD minus supported devices.
Device file based on last publicly available PICKitPlus
device file 2.63.218.15 from https://github.com/Anobium/PICKitPlus
Some devices added and fixed by jaka.
Device file and software updates available from
http://kair.us/projects/pickit2minus/index.html


Device File Version:   2.63.229
Number of devices = 1203

Device Name                  Device Family
-----------                  -------------
PIC10F200                    Baseline
PIC10F202                    Baseline
PIC10F204                    Baseline
PIC10F206                    Baseline
PIC10F220                    Baseline
PIC10F222                    Baseline
PIC12F508                    Baseline
PIC12F509                    Baseline
PIC12F510                    Baseline
PIC12F519                    Baseline
PIC16F54                     Baseline
PIC16F57                     Baseline
PIC16F59                     Baseline
PIC16F505                    Baseline
PIC16F506                    Baseline
PIC16F526                    Baseline
PIC16F527                    Baseline
PIC16F570                    Baseline
PIC12F609                    Midrange/Standard
PIC12F615                    Midrange/Standard
PIC12F617                    Midrange/Standard
PIC12F629                    Midrange/Standard
PIC12F635                    Midrange/Standard
PIC12F675                    Midrange/Standard
PIC12F683                    Midrange/Standard
PIC12F752                    Midrange/Standard
PIC12HV609                   Midrange/Standard
PIC12HV615                   Midrange/Standard
PIC12HV752                   Midrange/Standard
PIC12LF1552                  Midrange/Standard
PIC16F72                     Midrange/Standard
PIC16F73                     Midrange/Standard
PIC16F74                     Midrange/Standard
PIC16F76                     Midrange/Standard
PIC16F77                     Midrange/Standard
PIC16F84A                    Midrange/Standard
PIC16F87                     Midrange/Standard
PIC16F88                     Midrange/Standard
PIC16F610                    Midrange/Standard
PIC16F616                    Midrange/Standard
PIC16F627                    Midrange/Standard
PIC16F627A                   Midrange/Standard
PIC16F628                    Midrange/Standard
PIC16F628A                   Midrange/Standard
PIC16F630                    Midrange/Standard
PIC16F631                    Midrange/Standard
PIC16F636 (639)              Midrange/Standard
PIC16F648A                   Midrange/Standard
PIC16F676                    Midrange/Standard
PIC16F677                    Midrange/Standard
PIC16F684                    Midrange/Standard
PIC16F685                    Midrange/Standard
PIC16F687                    Midrange/Standard
PIC16F688                    Midrange/Standard
PIC16F689                    Midrange/Standard
PIC16F690                    Midrange/Standard
PIC16F716                    Midrange/Standard
PIC16F737                    Midrange/Standard
PIC16F747                    Midrange/Standard
PIC16F767                    Midrange/Standard
PIC16F777                    Midrange/Standard
PIC16F785                    Midrange/Standard
PIC16F818                    Midrange/Standard
PIC16F819                    Midrange/Standard
PIC16F870                    Midrange/Standard
PIC16F871                    Midrange/Standard
PIC16F872                    Midrange/Standard
PIC16F873                    Midrange/Standard
PIC16F873A                   Midrange/Standard
PIC16F874                    Midrange/Standard
PIC16F874A                   Midrange/Standard
PIC16F876                    Midrange/Standard
PIC16F876A                   Midrange/Standard
PIC16F877                    Midrange/Standard
PIC16F877A                   Midrange/Standard
PIC16F882                    Midrange/Standard
PIC16F883                    Midrange/Standard
PIC16F884                    Midrange/Standard
PIC16F886                    Midrange/Standard
PIC16F887                    Midrange/Standard
PIC16F913                    Midrange/Standard
PIC16F914                    Midrange/Standard
PIC16F916                    Midrange/Standard
PIC16F917                    Midrange/Standard
PIC16F946                    Midrange/Standard
PIC16HV610                   Midrange/Standard
PIC16HV616                   Midrange/Standard
PIC16HV785                   Midrange/Standard
PIC16C83                     Midrange/NoDeviceId
PIC16C84                     Midrange/NoDeviceId
PIC16F83                     Midrange/NoDeviceId
PIC16F84                     Midrange/NoDeviceId
PIC10F320                    Midrange/1.8V Min
PIC10F322                    Midrange/1.8V Min
PIC10LF320                   Midrange/1.8V Min
PIC10LF322                   Midrange/1.8V Min
PIC12F1501                   Midrange/1.8V Min
PIC12F1822                   Midrange/1.8V Min
PIC12F1840                   Midrange/1.8V Min
PIC12LF1501                  Midrange/1.8V Min
PIC12LF1822                  Midrange/1.8V Min
PIC12LF1840                  Midrange/1.8V Min
PIC16F707                    Midrange/1.8V Min
PIC16F720                    Midrange/1.8V Min
PIC16F721                    Midrange/1.8V Min
PIC16F722                    Midrange/1.8V Min
PIC16F722A                   Midrange/1.8V Min
PIC16F723                    Midrange/1.8V Min
PIC16F723A                   Midrange/1.8V Min
PIC16F724                    Midrange/1.8V Min
PIC16F726                    Midrange/1.8V Min
PIC16F727                    Midrange/1.8V Min
PIC16F1503                   Midrange/1.8V Min
PIC16F1507                   Midrange/1.8V Min
PIC16F1508                   Midrange/1.8V Min
PIC16F1509                   Midrange/1.8V Min
PIC16F1512                   Midrange/1.8V Min
PIC16F1513                   Midrange/1.8V Min
PIC16F1516                   Midrange/1.8V Min
PIC16F1517                   Midrange/1.8V Min
PIC16F1518                   Midrange/1.8V Min
PIC16F1519                   Midrange/1.8V Min
PIC16F1526                   Midrange/1.8V Min
PIC16F1527                   Midrange/1.8V Min
PIC16F1782                   Midrange/1.8V Min
PIC16F1783                   Midrange/1.8V Min
PIC16F1784                   Midrange/1.8V Min
PIC16F1786                   Midrange/1.8V Min
PIC16F1787                   Midrange/1.8V Min
PIC16F1823                   Midrange/1.8V Min
PIC16F1824                   Midrange/1.8V Min
PIC16F1825                   Midrange/1.8V Min
PIC16F1826                   Midrange/1.8V Min
PIC16F1827                   Midrange/1.8V Min
PIC16F1828                   Midrange/1.8V Min
PIC16F1829                   Midrange/1.8V Min
PIC16F1847                   Midrange/1.8V Min
PIC16F1933                   Midrange/1.8V Min
PIC16F1934                   Midrange/1.8V Min
PIC16F1936                   Midrange/1.8V Min
PIC16F1937                   Midrange/1.8V Min
PIC16F1938                   Midrange/1.8V Min
PIC16F1939                   Midrange/1.8V Min
PIC16F1946                   Midrange/1.8V Min
PIC16F1947                   Midrange/1.8V Min
PIC16LF707                   Midrange/1.8V Min
PIC16LF720                   Midrange/1.8V Min
PIC16LF721                   Midrange/1.8V Min
PIC16LF722                   Midrange/1.8V Min
PIC16LF722A                  Midrange/1.8V Min
PIC16LF723                   Midrange/1.8V Min
PIC16LF723A                  Midrange/1.8V Min
PIC16LF724                   Midrange/1.8V Min
PIC16LF726                   Midrange/1.8V Min
PIC16LF727                   Midrange/1.8V Min
PIC16LF1503                  Midrange/1.8V Min
PIC16LF1507                  Midrange/1.8V Min
PIC16LF1508                  Midrange/1.8V Min
PIC16LF1509                  Midrange/1.8V Min
PIC16LF1512                  Midrange/1.8V Min
PIC16LF1513                  Midrange/1.8V Min
PIC16LF1516                  Midrange/1.8V Min
PIC16LF1517                  Midrange/1.8V Min
PIC16LF1518                  Midrange/1.8V Min
PIC16LF1519                  Midrange/1.8V Min
PIC16LF1526                  Midrange/1.8V Min
PIC16LF1527                  Midrange/1.8V Min
PIC16LF1554                  Midrange/1.8V Min
PIC16LF1559                  Midrange/1.8V Min
PIC16LF1782                  Midrange/1.8V Min
PIC16LF1783                  Midrange/1.8V Min
PIC16LF1784                  Midrange/1.8V Min
PIC16LF1786                  Midrange/1.8V Min
PIC16LF1787                  Midrange/1.8V Min
PIC16LF1823                  Midrange/1.8V Min
PIC16LF1824                  Midrange/1.8V Min
PIC16LF1825                  Midrange/1.8V Min
PIC16LF1826                  Midrange/1.8V Min
PIC16LF1827                  Midrange/1.8V Min
PIC16LF1828                  Midrange/1.8V Min
